#### Data file for bias curve DAC 295, patch 192
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	17641233	17538	17623695	3.598811464
1	53008761	52691	52956070	10.813787152
2	45598161	45321	45552840	9.302024864
3	45951321	45679	45905642	9.374070488
4	62806184	62430	62743754	12.813385088
5	49335045	49147	49285898	10.085914320
6	50193526	50627	50142899	10.389886040
7	64283661	67384	64216277	13.829260144
8	56337882	64461	56273421	13.229343920
9	36477697	49414	36428283	10.141869296
10	40012226	71479	39940747	14.669210704
11	22353986	59082	22294904	12.125577456
12	17974864	76976	17897888	15.797103416
13	12288667	91119	12197548	18.700597648
14	3624278	48950	3575328	10.046018680
15	4779301	121804	4657497	24.995670192
16	1083176	53508	1029668	10.981537720
17	702186	68321	633865	14.021139032
18	545527	108117	437410	22.187934168
19	213103	86060	127043	17.660739416
20	70572	60019	10553	12.317453976
21	33511	33511	0	12.381607904
22	22684	22684	0	17.972596192
23	9451	9451	0	16.005034848
24	4225	4225	0	16.109026328
25	1451	1451	0	12.373523264
26	1299	1299	0	23.691750776
28	322	322	0	22.963760400
30	99	99	0	20.044342128
32	59	59	0	21.036313840
42	49	49	0	32.426421568
50	33	33	0	43.904769728
70	10	10	0	33.962248168
100	16	16	0	51.935332080
