#### Data file for bias curve DAC 295, patch 192
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	132761005	131981	132629024	27.083244912
2	64300544	63921	64236623	13.117310960
4	75194905	74755	75120150	15.341068840
6	81940800	82551	81858249	16.940654560
8	102563321	113503	102449818	23.291810640
10	52849562	74870	52774692	15.364957032
12	83777679	180890	83596789	37.121830576
14	28562126	116192	28445934	23.843764256
16	13069708	120990	12948718	24.827544392
18	6713241	166584	6546657	34.186165672
20	2599499	191540	2407959	39.305352048
22	439616	103245	336371	21.187968216
24	96056	76768	19288	15.757044304
26	26335	26335	0	15.237062056
28	12235	12235	0	27.211248800
30	4380	4380	0	38.817409344
32	1305	1305	0	44.640486296
34	540	540	0	59.502367368
36	128	128	0	33.937976128
38	69	69	0	30.354695424
44	47	47	0	35.665928512
70	43	43	0	64.565570024
100	32	32	0	206.671725544
