#### Data file for bias curve at 81MHz DAC = 304 readout window 50
# threshold : threshold for PATCH7 trigger loggic
# trigger_cnt : trigger count at Digicam level
# readout_cnt : count of events that are shipped out of Digicam
# dropped_cnt : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_cnt	time
# DATA
0	50773007	50483	50722524	10.357693392
1	50060474	49734	50010740	10.212336664
2	58802871	58410	58744461	11.995786296
3	49666221	49326	49616895	10.131911704
4	56772829	56363	56716466	11.582172208
5	60014333	59692	59954641	12.258995288
6	135491945	135832	135356113	27.894686776
7	94985825	97545	94888280	20.028533920
8	49756738	53816	49702922	11.054883912
9	64172081	76075	64096006	15.629184096
10	34710185	47261	34662924	9.701934248
11	30422921	49798	30373123	10.228352128
13	20818983	57245	20761738	11.748418640
14	14598668	56584	14542084	11.610025016
15	19005111	108673	18896438	22.311592920
16	6291868	55560	6236308	11.410181296
17	5106011	72834	5033177	14.957757544
18	2259892	53838	2206054	11.055580312
19	1223175	50003	1173172	10.265953400
20	799153	57106	742047	11.727180944
21	498222	64024	434198	13.150807048
22	380508	88434	292074	18.162744416
23	174481	74576	99905	15.310791776
24	85001	68239	16762	14.012677184
25	60836	60836	0	18.809799680
26	19382	19382	0	11.421148240
27	12096	12096	0	14.037831864
28	3512	3512	0	7.926796920
29	1684	1684	0	7.382857856
30	1921	1921	0	16.565603912
31	605	605	0	10.221406296
32	583	583	0	18.046458928
33	144	144	0	7.487897688
34	161	161	0	16.500776416
35	144	144	0	25.781077152
36	76	76	0	19.524293712
37	98	98	0	30.828378728
38	158	158	0	72.380952664
39	253	253	0	132.475614240
40	350	350	0	187.515201736
50	597	597	0	491.742188168
70	272	272	0	476.038065736
100	36	36	0	108.031283360
