#### Data file for bias curve DAC 295, patch 192
# threshold : threshold for PATCH7 trigger loggic
# trigger count : trigger count at Digicam level
# readout count : count of events that are shipped out of Digicam
# dropped count : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_count	time
# DATA
0	49714903	49423	49665480	10.141840256
5	70764825	70427	70694398	14.453174032
8	55924718	58458	55866260	11.997531416
10	45768305	52182	45716123	10.709790080
12	44207281	57565	44149716	11.813678048
14	34480291	54876	34425415	11.261706264
16	24309017	52217	24256800	10.717797712
18	17822871	57990	17764881	11.901684968
20	9220641	51716	9168925	10.613718704
22	5521091	59395	5461696	12.189517272
24	3698332	83642	3614690	17.164814192
28	657407	80638	576769	16.548938400
32	175240	138914	36326	28.491136152
36	16534	16534	0	20.652303096
40	1884	1884	0	20.548321440
44	262	262	0	24.155754128
46	114	114	0	27.259417192
48	48	48	0	26.435213808
52	71	71	0	58.446378640
56	33	33	0	42.009061544
60	28	28	0	39.425477376
64	26	26	0	38.761726296
66	31	31	0	46.560196288
68	24	24	0	34.810181128
70	12	12	0	31.370724224
100	6	6	0	18.852653840
