#### Data file for bias curve at 40MHz DAC = 292 readout window 1
# threshold : threshold for PATCH7 trigger loggic
# trigger_cnt : trigger count at Digicam level
# readout_cnt : count of events that are shipped out of Digicam
# dropped_cnt : count of events that are dropped at the Digicam level
# time : duration of the acquisition
# HEADER
# threshold	trigger_cnt	readout_cnt	dropped_cnt	time
# DATA
0	52303125	52005	52251120	10.669837344
1	58185094	57793	58127301	11.869759512
2	63203603	62771	63140832	12.893535848
3	56969306	56556	56912750	11.621740552
4	52027322	51728	51975594	10.613894248
5	56316389	56010	56260379	11.501707472
6	56327640	56482	56271158	11.597721536
7	72233767	74436	72159331	15.285048768
8	50832893	55955	50776938	11.493704184
9	53638149	67889	53570260	13.941399392
10	40182590	65069	40117521	13.357522504
11	25186392	59298	25127094	12.173470440
12	15397340	58198	15339142	11.949749440
13	13534279	89155	13445124	18.300498768
14	5480918	66332	5414586	13.621250168
15	3082679	70102	3012577	14.397203296
16	1219165	53139	1166026	10.909599072
17	798141	70907	727234	14.581307080
19	134605	50833	83772	10.429838240
20	109836	88766	21070	18.212653800
21	41897	41897	0	14.709267632
22	12139	12139	0	9.253908688
23	5934	5934	0	9.782072224
24	2405	2405	0	8.910180376
25	1007	10070	0	8.110068568
26	884	884	0	15.301134808
27	557	557	0	21.084183288
28	247	247	0	18.732567712
29	171	171	0	22.315929664
30	130	130	0	24.955630520
31	115	115	0	24.955630520
32	178	178	0	62.421846208
33	707	707	0	244.642021872
34	1269	1269	0	487.228582008
35	721	721	0	306.576607480
37	504	504	0	227.388632072
40	473	473	0	257.439810656
50	316	316	0	276.749041584
70	52	52	0	75.339997952
100	24	24	0	96.152532648
